"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"1";"Canal Villanueva y Río Luján";"Tigre";"TI001";"28/8/2013";"2013";"invierno";"10.3";"0.7";"7.9";"1.300";"130";"130";"7.56";"1.18";"31";"62";"Muy deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"28/8/2013";"2013";"invierno";"10.5";"0.5";"7.5";"2.200";"490";"230";"6.04";"0.98";"<30";"50";"Muy deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"28/8/2013";"2013";"invierno";"10.6";"0.5";"7.5";"542.000";"34.800";"34.800";"3.61";"7.47";"48";"27";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"28/8/2013";"2013";"invierno";"10.4";"0.7";"7.4";"5.400";"330";"230";"8.37";"0.85";"<30";"54";"Muy deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"28/8/2013";"2013";"invierno";"10.3";"0.8";"7.5";"1.090.000";"91.800";"91.800";"10.97";"7.29";"41";"26";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"28/8/2013";"2013";"invierno";"10";"0.7";"7.8";"2.210.000";"172.000";"172.000";"7.75";"18.85";"61";"26";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"28/8/2013";"2013";"invierno";"10.4";"0.8";"7.5";"1.090.000";"91.800";"91.800";"6.21";"4.43";"44";"26";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"28/8/2013";"2013";"invierno";"10.5";"0.6";"7.6";"3.500";"490";"330";"3.46";"0.66";"<30";"52";"Muy deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"28/8/2013";"2013";"invierno";"10.5";"0.7";"7.4";"2.400";"230";"130";"2.78";"1.11";"<30";"54";"Muy deteriorada"
"10";"Del Arca";"San Fernando";"SF015";"28/8/2013";"2013";"invierno";"no se midió";"<0.5";"7.9";"240.000";"91.800";"91.800";"5.81";"8.59";"45";"21";"Extremadamente deteriorada"
"11";"Espigón La Farola";"San Isidro";"SI021";"28/8/2013";"2013";"invierno";"no se midió";"0.8";"7.6";"24.000";"3.500";"3.500";"8.3";"2.17";"30";"27";"Extremadamente deteriorada"
"12";"Reserva Ecológica";"San Isidro";"SI022";"28/8/2013";"2013";"invierno";"no se midió";"0.8";"7.4";"3.500";"790";"490";"5.76";"1.32";"42";"35";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"San Isidro";"SI024";"28/8/2013";"2013";"invierno";"no se midió";"1";"7.7";"1.609.000";"221.000";"221.000";"0.25";"14.29";"42";"21";"Extremadamente deteriorada"
"14";"Perú Puente";"San Isidro";"SI023";"28/8/2013";"2013";"invierno";"no se midió";"<0.5";"7.4";"9.180.000";"1.609.000";"1.609.000";"9.85";"6.35";"125";"21";"Extremadamente deteriorada"
