localidad;estacion_de_monitoreo;fecha;ICA_verano;ICA_otonio;ICA_invierno;ICA_primavera
Avellaneda;AV055;2021;47;39;46;47
Avellaneda;AV055;2022;44;35;37;40
Avellaneda;AV053;2018;50;55;60;53
Avellaneda;AV053;2019;51;37;57;43
Avellaneda;AV053;2020;65;s/i;s/i;50
Avellaneda;AV053;2021;36;38;59;34
Avellaneda;AV053;2022;39;39;37;40
Quilmes;QU061;2018;s/i;48;57;54
Quilmes;QU061;2019;58;41;s/i;38
Quilmes;QU061;2020;83;s/i;s/i;s/i
Quilmes;QU061;2021;45;44;49;50
Quilmes;QU061;2022;33;45;42;62
Quilmes;QU062;2018;s/i;51;54;50
Quilmes;QU062;2019;61;48;s/i;42
Quilmes;QU062;2020;81;s/i;s/i;s/i
Quilmes;QU062;2021;44;44;64;53
Quilmes;QU062;2022;59;45;33;41
Quilmes;QU063;2018;s/i;53;44;44
Quilmes;QU063;2019;74;49;60;32
Quilmes;QU063;2020;81;s/i;s/i;s/i
Quilmes;QU063;2021;46;48;47;49
Quilmes;QU063;2022;48;40;36;36
Berazategui;BZ078;2018;41;53;40;49
Berazategui;BZ078;2019;39;43;38;42
Berazategui;BZ078;2020;39;s/i;s/i;49
Berazategui;BZ078;2021;33;42;45;39
Berazategui;BZ078;2022;55;36;33;40
Berazategui;BZ077;2018;57;s/i;s/i;49
Berazategui;BZ077;2019;45;49;50;40
Berazategui;BZ077;2020;37;s/i;s/i;60
Berazategui;BZ077;2021;35;41;61;52
Berazategui;BZ077;2022;48;36;33;39
Berazategui;BZ080;2018;42;59;49;53
Berazategui;BZ080;2019;46;56;47;43
Berazategui;BZ080;2020;39;s/i;s/i;63
Berazategui;BZ080;2021;51;44;43;33
Berazategui;BZ080;2022;s/i;40;38;40
Boca Cerrada (Res.Nat. Punta Lara);EN-extra;2022;40;51;42;41
Ensenada;EN081;2018;42;61;61;59
Ensenada;EN081;2019;62;70;46;48
Ensenada;EN081;2020;74;s/i;s/i;53
Ensenada;EN081;2021;51;56;58;58
Ensenada;EN081;2022;55;59;42;38
Ensenada;EN082;2018;52;62;49;66
Ensenada;EN082;2019;66;66;55;71
Ensenada;EN082;2020;75;s/i;s/i;66
Ensenada;EN082;2021;50;72;67;65
Ensenada;EN082;2022;42;64;45;41
Ensenada;EN083;2018;39;56;37;63
Ensenada;EN083;2019;38;36;39;41
Ensenada;EN083;2020;32;s/i;s/i;42
Ensenada;EN083;2021;40;38;60;39
Ensenada;EN083;2022;56;40;32;37
Ensenada;EN084;2018;35;71;70;66
Ensenada;EN084;2019;46;55;62;55
Ensenada;EN084;2020;70;s/i;s/i;62
Ensenada;EN084;2021;57;74;60;58
Ensenada;EN084;2022;46;55;46;54
Berisso;BS092;2018;47;61;38;43
Berisso;BS092;2019;39;41;38;39
Berisso;BS092;2020;42;s/i;s/i;s/i
Berisso;BS092;2021;43;s/i;37;38
Berisso;BS092;2022;57;41;34;43
Berisso;BS095;2018;53;37;27;43
Berisso;BS095;2019;30;34;29;32
Berisso;BS095;2020;29;s/i;s/i;s/i
Berisso;BS095;2021;26;s/i;28;26
Berisso;BS095;2022;50;29;23;37
Berisso;BS091;2018;48;50;33;42
Berisso;BS091;2019;43;49;54;36
Berisso;BS091;2020;42;s/i;s/i;s/i
Berisso;BS091;2021;42;s/i;41;39
Berisso;BS091;2022;31;50;38;49
Berisso;BS094;2018;47;58;59;59
Berisso;BS094;2019;50;53;41;39
Berisso;BS094;2020;58;s/i;s/i;s/i
Berisso;BS094;2021;49;s/i;46;62
Berisso;BS094;2022;44;59;41;39
Berisso;BS093;2018;44;65;43;54
Berisso;BS093;2019;57;69;35;41
Berisso;BS093;2020;70;s/i;s/i;s/i
Berisso;BS093;2021;46;s/i;43;49
Berisso;BS093;2022;44;55;46;34
