"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"ph";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"nitrato_mg_l"
"1";"Espora 500 m";"Quilmes";"QU-P061a";"23/3/2010";"2010";"otoño";"7.1";"24000";"210";"10"
"2";"Espora 1500 m";"Quilmes";"QU-P061c";"23/3/2010";"2010";"otoño";"7.2";"46000";"33";"16"
"3";"Náutico 500 m";"Quilmes";"QU-P062a";"23/3/2010";"2010";"otoño";"7.5";"17000";"130";"13"
"4";"Náutico 1500 m";"Quilmes";"QU-P062c";"23/3/2010";"2010";"otoño";"7.2";"17000";"1600";"13"
"5";"Pejerrey Club 500 m";"Quilmes";"QU-P063a";"23/3/2010";"2010";"otoño";"7.1";"920000000";"240000";"13"
"6";"Pejerrey Club 1500 m";"Quilmes";"QU-P063c";"23/3/2010";"2010";"otoño";"7";"920000000";"240000";"18"
