"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"escher_coli_nmp_100ml";"nitrato_mg_l"
"1";"Espora 400 m";"Quilmes";"QU061";"15/9/2009";"2009";"invierno";"no se midió";"no se midió";"2400";"no se midió";"2.7"
"2";"Náutico 400 m";"Quilmes";"QU062";"15/9/2009";"2009";"invierno";"no se midió";"no se midió";"750";"no se midió";"2.8"
"3";"Pejerrey Club 400 m";"Quilmes";"QU063";"15/9/2009";"2009";"invierno";"no se midió";"no se midió";"430";"no se midió";"3"
"4";"Puerto de Olivos Espigón";"Vicente López";"VL032";"15/9/2009";"2009";"invierno";"19.9";"4900";"1400";"2300";"no se midió"
"5";"Costa y Melo";"Vicente López";"VL031";"15/9/2009";"2009";"invierno";"22.5";"92000";"1700";"13500";"no se midió"
"6";"Puerto de Olivos Espigón";"Vicente López";"VL031";"1/11/2009";"2009";"primavera";"22";"no se midió";"no se midió";"no se midió";"no se midió"
"7";"Costa y Melo";"Vicente López";"VL032";"1/11/2009";"2009";"primavera";"22";"no se midió";"no se midió";"no se midió";"no se midió"
