"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"11";"Espigón La Farola";"SI021";"8/4/2024";"2024";"verano";"24";"20";"3.19";"6.82";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"900";"800";"140";"3.4";"0.53";"0.18";"s/i";"s/i";"s/i";"63.1";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"53";"Muy deteriorada"
"12";"Reserva Ecológica";"SI022";"8/4/2024";"2024";"verano";"23";"19";"6.14";"7";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3100";"2700";"340";"4.4";"0.4";"0.29";"s/i";"3";"s/i";"75.4";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"50";"Muy deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"8/4/2024";"2024";"verano";"23";"21";"8.14";"7";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5300";"4500";"540";"6.8";"0.16";"0.17";"s/i";"3";"s/i";"20.9";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"47";"Muy deteriorada"
"14";"Perú Puente";"SI023";"8/4/2024";"2024";"verano";"23";"19";"1.34";"6.86";"Presencia";"Presencia";"Ausencia";"Presencia";"62000";"48000";"4600";"5";"1.68";"0.52";"s/i";"5";"s/i";"56.2";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"27";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"VL033";"8/4/2024";"2024";"verano";"22";"21";"7.22";"7.4";"Ausencia";"Ausencia";"Ausencia";"Presencia";"5000";"4300";"600";"13.2";"0.51";"0.34";"s/i";"4";"s/i";"63.1";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"42";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"VL032";"8/4/2024";"2024";"verano";"22";"21";"5.53";"7.39";"Ausencia";"Ausencia";"Ausencia";"Presencia";"9000";"8700";"2300";"8.3";"0.49";"0.25";"s/i";"3";"s/i";"83.8";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"40";"Extremadamente deteriorada"
"17";"Costa y Melo";"VL031";"8/4/2024";"2024";"verano";"22";"21";"5.84";"7.03";"Ausencia";"Ausencia";"Ausencia";"Presencia";"15000";"11000";"1600";"8.5";"0.2";"0.33";"s/i";"s/i";"s/i";"20.1";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"39";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CA041";"8/4/2024";"2024";"verano";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i"
"19";"Costanera Norte - Espigón Abanico";"CA044";"8/4/2024";"2024";"verano";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i"
"20";"Club de Pescadores";"CA046";"8/4/2024";"2024";"verano";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i"
"21";"Reserva Ecológica Costanera Sur - Playita";"CA047";"8/4/2024";"2024";"verano";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i"
"22";"Cuatro bocas- desembocadura del Riachuelo";"AC001";"8/4/2024";"2024";"verano";"22";"20";"1.6";"7.45";"Ausente";"Presencia";"Ausente";"Presencia";"18000";"16000";"3500";"5.3";"1.55";"";"s/i";"11";"s/i";"38.7";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"30";"Extremadamente deteriorada"
"23";"Escollera de Propaneros";"AV054";"8/4/2024";"2024";"verano";"23";"20";"4.05";"7.57";"Ausente";"Ausente";"Ausente";"Ausente";"3000";"2000";"410";"5.1";"0.88";"0.38";"s/i";"s/i";"s/i";"78.3";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"44";"Extremadamente deteriorada"
"24";"Polo Petroquímico Dock Sud";"AV051";"8/4/2024";"2024";"verano";"22";"20";"4.9";"7.55";"Ausente";"Ausente";"Ausente";"Ausente";"2100";"1900";"290";"5.1";"0.43";"0.26";"s/i";"7";"s/i";"71.2";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"51";"Muy deteriorada"
"25";"Arroyo Sarandí";"AV052";"8/4/2024";"2024";"verano";"22";"20";"3.62";"7.45";"Ausente";"Presencia";"Ausente";"Presencia";"1700";"1200";"320";"5.5";"0.64";"0.27";"s/i";"s/i";"s/i";"62.5";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"41";"Extremadamente deteriorada"
"26";"Costa de Villa Domínico";"AV055";"8/4/2024";"2024";"verano";"23";"20";"4.02";"7.64";"Ausente";"Ausente";"Ausente";"Ausente";"1500";"1400";"230";"5.2";"0.76";"0.32";"s/i";"5";"s/i";"64.1";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"49";"Muy deteriorada"
"27";"Arroyo Santo Domingo";"AV053";"8/4/2024";"2024";"verano";"22";"20";"3.96";"7.6";"Ausente";"Ausente";"Ausente";"Ausente";"1600";"1300";"130";"5.6";"1.06";"0.32";"s/i";"s/i";"s/i";"82.4";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"48";"Muy deteriorada"
"28";"Espora 400 m";"QU061";"8/4/2024";"2024";"verano";"22";"21";"s/i";"7.47";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1400";"1200";"80";"5.5";"0.48";"0.32";"s/i";"s/i";"s/i";"97.2";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"54";"Muy deteriorada"
"29";"Náutico 400 m";"QU062";"8/4/2024";"2024";"verano";"22";"21";"s/i";"7.48";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"800";"600";"60";"7.6";"0.77";"0.44";"s/i";"5";"s/i";"64.5";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"54";"Muy deteriorada"
"30";"Pejerrey Club 400 m";"QU063";"8/4/2024";"2024";"verano";"22";"21";"s/i";"7.57";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1100";"800";"10";"8.3";"0.78";"0.44";"s/i";"5";"s/i";"58";"<0.10";"s/i";"s/i";"10.3";"<0.15";"56";"Muy deteriorada"
"31";"Calle 14 y Costa - Salida cloaca";"BZ078";"8/4/2024";"2024";"verano";"s/i";"20";"s/i";"s/i";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"12000";"9000";"400";"6.9";"0.36";"s/i";"s/i";"s/i";"s/i";"59.4";"<0.10";"s/i";"s/i";"25.6";"<0.15";"41";"Extremadamente deteriorada"
"32";"Puerto Trinidad calle 47";"BZ077";"8/4/2024";"2024";"verano";"s/i";"21";"s/i";"s/i";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"650";"400";"10";"8.4";"<0.01";"0.42";"s/i";"6";"s/i";"69.2";"<0.10";"s/i";"s/i";"17.9";"<0.15";"59";"Muy deteriorada"
"33";"Costanera Hudson Calle 63";"BZ080";"8/4/2024";"2024";"verano";"s/i";"22";"s/i";"s/i";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"800";"500";"80";"6.6";"<0.01";"0.54";"s/i";"s/i";"s/i";"63.9";"<0.10";"s/i";"s/i";"20.5";"<0.15";"51";"Muy deteriorada"
"34";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-adic";"8/4/2024";"2024";"verano";"s/i";"20";"s/i";"s/i";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"300";"200";"50";"7.4";"<0.01";"0.53";"s/i";"s/i";"s/i";"68.1";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"54";"Muy deteriorada"
"35";"Camping Eva Perón";"EN081";"8/4/2024";"2024";"verano";"22";"24";"8.74";"8.34";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1500";"800";"170";"7";"<0.01";"0.49";"s/i";"2";"s/i";"80.5";"<0.10";"s/i";"s/i";"10.9";"<0.15";"55";"Muy deteriorada"
"36";"Toma de agua Club de Pesca";"EN082";"8/4/2024";"2024";"verano";"22";"24";"6.45";"8.11";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"600";"400";"80";"7.2";"<0.01";"0.43";"s/i";"s/i";"s/i";"180";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"55";"Muy deteriorada"
"37";"Arroyo El Gato";"EN083";"8/4/2024";"2024";"verano";"21";"24";"1.31";"7.79";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"20000";"14000";"300";"4.2";"3.18";"0.21";"s/i";"19";"s/i";"52.5";"<0.10";"s/i";"s/i";"15.4";"<0.15";"35";"Extremadamente deteriorada"
"38";"Ensenada Prefectura Isla Santiago";"EN084";"8/4/2024";"2024";"verano";"21";"24";"4.24";"7.87";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"300";"230";"85";"8";"0.09";"0.27";"s/i";"<2";"s/i";"63.6";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"63";"Muy deteriorada"
"39";"Balneario Palo Blanco";"BS092";"8/4/2024";"2024";"verano";"22";"22";"8.4";"8.29";"Ausencia";"Ausencia";"Ausencia";"Presencia";"23000";"20000";"4000";"6.2";"0.99";"0.7";"s/i";"10";"s/i";"56.2";"<0.10";"s/i";"s/i";"10.3";"<0.15";"36";"Extremadamente deteriorada"
"40";"Diagonal 66 (descarga cloaca)";"BS095";"12/4/2024";"2024";"verano";"19";"19";"7.69";"8.26";"presencia";"ausente";"ausencia";"presencia";"180000";"100000";"30000";"";"";"0.56";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"s/i";"";"";"27";"Extremadamente deteriorada"
"41";"Playa La Bagliardi";"BS091";"8/4/2024";"2024";"verano";"23";"22";"8.16";"8.08";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"95000";"76000";"1500";"4.6";"1.43";"0.76";"s/i";"s/i";"s/i";"72";"<0.10";"s/i";"s/i";"<10.00";"0.16";"36";"Extremadamente deteriorada"
"42";"Balneario Municipal";"BS094";"8/4/2024";"2024";"verano";"27";"23";"8.16";"8.18";"Ausencia";"Ausencia";"Presencia";"Ausencia";"700";"400";"30";"4.3";"<0.01";"0.44";"s/i";"s/i";"s/i";"66";"<0.10";"s/i";"s/i";"21.8";"<0.15";"59";"Muy deteriorada"
"43";"Playa La Balandra";"BS093";"8/4/2024";"2024";"verano";"25";"24";"8.47";"8.7";"Ausencia";"Ausencia";"Presencia";"Ausencia";"300";"100";"20";"3.8";"<0.01";"0.4";"s/i";"s/i";"s/i";"66";"<0.10";"s/i";"s/i";"32.7";"<0.15";"62";"Muy deteriorada"
"1";"Canal Villanueva y Río Luján";"TI001";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Canal Aliviador y Río Lujan";"TI002";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"45623";"2024";"primavera";"24.9";"23.0";"2.6";"6.8";"Presencia";"Ausente";"Presencia";"Ausente";"no se analizó";"5900";"2300";"<1.00";"1.2";"0.3";"no se analizó";"3.0";"no se analizó";"53.8";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"38";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"45623";"2024";"primavera";"25.7";"23.0";"0.8";"6.6";"Presencia";"Presencia";"Presencia";"Ausente";"no se analizó";"no se analizó";"no se analizó";"1.1";"3.9";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"19.4";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"52";"Muy deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"45623";"";"";"25.6";"23.0";"0.8";"6.7";"Ausente";"Presencia";"Presencia";"Ausente";"no se analizó";"no se analizó";"no se analizó";"1.2";"4.3";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"13.1";"<0.10";"no se analizó";"no se analizó";"11.0";"<0.15";"57";"Muy deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Del Arca";"SF015";"45623";"2024";"primavera";"25.4";"23.0";"1.9";"7.4";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"2.0";"2.1";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"12.6";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"74";"Deteriorada"
"11";"Espigón La Farola";"SI021";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Reserva Ecológica";"SI022";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Playa Espigón de Pacheco";"SI024";"45623";"2024";"primavera";"24.5";"20.0";"7.7";"8.0";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"7.3";"0.3";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"27.9";"<0.10";"no se analizó";"no se analizó";"17.0";"<0.15";"93";"Levemente deteriorada"
"14";"Perú Puente";"SI023";"45623";"2024";"primavera";"24.5";"20.0";"2.8";"7.6";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"96000";"15000";"16.6";"5.7";"0.5";"no se analizó";"3.0";"no se analizó";"2.2";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"36";""
"15";"Reserva Barrio El Ceibo";"VL033";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Puerto de Olivos Espigón";"VL032";"45623";"2024";"primavera";"25.1";"";"4.4";"7.4";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"3.0";"0.5";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"27.7";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"87";"Levemente deteriorada"
"17";"Costa y Melo";"VL031";"45623";"2024";"primavera";"24.5";"";"1.5";"6.7";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"180000";"16700";"9.3";"1.2";"0.4";"no se analizó";"4.0";"no se analizó";"24.8";"<0.10";"no se analizó";"no se analizó";"10.0";"<0.15";"36";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CA041";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Costanera Norte - Espigón Abanico";"CA044";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Club de Pescadores";"CA046";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Reserva Ecológica Costanera Sur - Playita";"CA047";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cuatro bocas- desembocadura del Riachuelo";"AC001";"45623";"2024";"primavera";"25.3";"18.0";"0.5";"7.2";"Ausente";"Presencia";"Ausente";"Presencia";"no se analizó";"no se analizó";"no se analizó";"2.0";"3.5";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"11.5";"<0.10";"no se analizó";"no se analizó";"15.0";"<0.15";"56";"Muy deteriorada"
"23";"Escollera de Propaneros";"AV054";"45623";"2024";"primavera";"25.9";"18.0";"1.6";"7.4";"Ausente";"Ausente";"Ausente";"Ausente";"no se analizó";"no se analizó";"no se analizó";"3.6";"1.7";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"32.8";"<0.10";"no se analizó";"no se analizó";"16.0";"<0.15";"75";"Deteriorada"
"24";"Polo Petroquímico Dock Sud";"AV051";"45623";"2024";"primavera";"25.8";"18.0";"1.1";"7.4";"Ausente";"Ausente";"Ausente";"Ausente";"no se analizó";"no se analizó";"no se analizó";"2.5";"1.2";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"34.1";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"74";"Deteriorada"
"25";"Arroyo Sarandí";"AV052";"45623";"2024";"primavera";"26.2";"18.0";"0.3";"7.3";"Ausente";"Presencia";"Ausente";"Presencia";"no se analizó";"no se analizó";"no se analizó";"<1.00";"1.0";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"42.0";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"55";"Muy deteriorada"
"26";"Costa de Villa Domínico";"AV055";"45623";"2024";"primavera";"25.5";"19.0";"0.3";"7.3";"Ausente";"Presencia";"Ausente";"Ausente";"no se analizó";"no se analizó";"no se analizó";"<1.00";"0.8";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"62.3";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"60";"Muy deteriorada"
"27";"Arroyo Santo Domingo";"AV053";"45623";"2024";"primavera";"25.2";"19.0";"0.5";"7.3";"Ausente";"Ausente";"Ausente";"Ausente";"";"120000";"1400";"1.4";"1.2";"1.1";"";"10.0";"no se analizó";"30.7";"<0.10";"no se analizó";"no se analizó";"31.0";"<0.15";"36";"Extremadamente deteriorada"
"28";"Espora 400 m";"QU061";"45623";"2024";"primavera";"22.6";"23.0";"8.5";"8.3";"Ausencia";"Presencia";"Ausencia";"Presencia";"no se analizó";"no se analizó";"no se analizó";"6.1";"0.1";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"5.3";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"81";"Levemente deteriorada"
"29";"Náutico 400 m";"QU062";"45623";"2024";"primavera";"22.6";"23.0";"8.5";"8.2";"Ausencia";"Presencia";"Ausencia";"Presencia";"no se analizó";"no se analizó";"no se analizó";"11.6";"0.1";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"87.8";"<0.10";"no se analizó";"no se analizó";"<10.00";"0.5";"81";"Levemente deteriorada"
"30";"Pejerrey Club 400 m";"QU063";"45623";"2024";"primavera";"22.6";"23.0";"7.1";"5.7";"Ausencia";"Presencia";"Ausencia";"Presencia";"";"6700";"600";"13.6";"<0.01";"0.4";"no se analizó";"4.0";"no se analizó";"44.2";"<0.10";"no se analizó";"no se analizó";"26.0";"<0.15";"41";"Extremadamente deteriorada"
"31";"Calle 14 y Costa - Salida cloaca";"BZ078";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Puerto Trinidad calle 47";"BZ077";"no se muestreó";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Costanera Hudson Calle 63";"BZ080";"45623";"2024";"primavera";"";"22.2";"";"";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"2400";"500";"5.7";"0.1";"0.6";"no se analizó";"2.0";"no se analizó";"56.2";"<0.10";"no se analizó";"no se analizó";"15.0";"<0.15";"48";"Muy deteriorada"
"34";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-adic";"45623";"2024";"primavera";"";"";"";"";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"1.2";"<0.01";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"18.0";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"91";"Levemente deteriorada"
"35";"Camping Eva Perón";"EN081";"45623";"2024";"primavera";"23.7";"";"7.6";"";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"1600";"350";"6.4";"<0.01";"0.5";"no se analizó";"<2";"no se analizó";"73.6";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"62";"Muy deteriorada"
"36";"Toma de agua Club de Pesca";"EN082";"45623";"2024";"primavera";"24.7";"";"4.7";"";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"6.6";"<0.01";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"31.0";"<0.10";"no se analizó";"no se analizó";"<10.00";"0.2";"86";"Levemente deteriorada"
"37";"Arroyo El Gato";"EN083";"45623";"2024";"primavera";"24.4";"";"0.8";"";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"1.4";"4.5";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"17.1";"<0.10";"no se analizó";"no se analizó";"15.0";"<0.15";"63";"Muy deteriorada"
"38";"Ensenada Prefectura Isla Santiago";"EN084";"45623";"2024";"primavera";"24.5";"";"6.6";"";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"7.9";"<0.01";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"40.2";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"92";"Levemente deteriorada"
"39";"Balneario Palo Blanco";"BS092";"45628";"2024";"primavera";"20.0";"19.0";"7.3";"8.0";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"4.1";"2.3";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"122.0";"<0.10";"no se analizó";"no se analizó";"<10.00";"0.3";"76";"Deteriorada"
"40";"Diagonal 66 (descarga cloaca)";"BS095";"45628";"2024";"primavera";"22.2";"19.0";"8.4";"8.6";"presencia";"presencia";"Ausencia";"presencia";"no se analizó";"no se analizó";"no se analizó";"3.4";"0.5";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"191.0";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"62";"Muy deteriorada"
"41";"Playa La Bagliardi";"BS091";"45628";"2024";"primavera";"21.7";"19.0";"8.8";"8.5";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"no se analizó";"no se analizó";"no se analizó";"3.9";"0.2";"no se analizó";"no se analizó";"no se analizó";"no se analizó";"199.0";"<0.10";"no se analizó";"no se analizó";"<10.00";"<0.15";"86";"Levemente deteriorada"
