"orden";"sitio";"gobierno_local";"codigo";"fecha";"año";"campaña";"amonio_mg_l";"colif_fecales_nmp_100ml";"colif_totales_nmp_100ml";"escher_coli_nmp_100ml";"nitratos_mg_l";"oxigeno_disuelto";"ph";"temperatura_ºc";"solidos_disueltos_mg_l";"fosforo_total_mg_l";"conductividad_ms_cm";"ica";"clase_ica"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"27/9/2004";"2004";"primavera";"0.05";"no se midió";"240";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"2";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"27/9/2004";"2004";"primavera";"0.43";"no se midió";"1100";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"3";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"27/9/2004";"2004";"primavera";"0.27";"no se midió";"1100";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"4";"Río Reconquista y Río Lujan";"Tigre";"TI004";"27/9/2004";"2004";"primavera";"0.46";"no se midió";"1100";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"5";"Río Tigre y Río Lujan";"Tigre";"TI005";"27/9/2004";"2004";"primavera";"0.49";"no se midió";"1100";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"6";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"27/9/2004";"2004";"primavera";"0.68";"no se midió";"1100";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"27/9/2004";"2004";"primavera";"0.46";"no se midió";"1100";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"27/9/2004";"2004";"primavera";"0.09";"no se midió";"1100";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"27/9/2004";"2004";"primavera";"0.06";"no se midió";"1100";"no se midió";"1.10";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"10";"Espigón La Farola";"San Isidro";"SI021";"23/9/2004";"2004";"primavera";"0.40";"9208";"no se midió";"1081";"0.50";"4.60";"8.20";"18.00";"no se midió";"no se midió";"0.27";"35";"Extremadamente deteriorada"
"11";"Reserva Ecógica";"San Isidro";"SI022";"23/9/2004";"2004";"primavera";"0.05";"no se midió";"1450";"109";"0.50";"5.10";"7.80";"18.00";"no se midió";"no se midió";"0.17";"100";"Apta de acuerdo a las variables analizadas (5)"
"12";"Pacheco";"San Isidro";"SI024";"23/9/2004";"2004";"primavera";"0.41";"no se midió";"43000";"no se midió";"4.60";"9.70";"7.80";"22.40";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas (4)"
"13";"Barrio El Ceibo";"Vicente López";"VL033";"23/9/2004";"2004";"primavera";"no se midió";"15000";"460000";"no se midió";"15.84";"7.40";"7.90";"16.70";"no se midió";"no se midió";"no se midió";"42";"Extremadamente deteriorada"
"14";"Puerto de Olivos Espigón";"Vicente López";"VL032";"23/9/2004";"2004";"primavera";"0.54";"35000";"no se midió";"7900";"5.10";"4.90";"7.40";"17.70";"no se midió";"0.06";"0.37";"19";"Extremadamente deteriorada"
"15";"Costa y Melo";"Vicente López";"VL031";"23/9/2004";"2004";"primavera";"0.69";"35000";"no se midió";"7900";"8.70";"7.90";"7.60";"17.00";"no se midió";"0.15";"0.51";"27";"Extremadamente deteriorada"
"16";"Parque de los Niños";"CABA";"CA041";"23/9/2004";"2004";"primavera";"0.24";"no se midió";"3400";"22800";"2800.00";"no se midió";"4.20";"7.51";"20.60";"143.00";"0.33";"13";"Extremadamente deteriorada"
"17";"Club de Pescadores";"CABA";"CA046";"23/9/2004";"2004";"primavera";"01.08";"no se midió";"13000";"19000";"7000.00";"no se midió";"4.59";"07.03";"18.30";"122.00";"0.17";"0";"Extremadamente deteriorada"
"18";"Frente a la toma de agua AySA";"CABA";"CA043";"23/9/2004";"2004";"primavera";"1.13";"9500";"22650";"5650";"no se midió";"3.64";"7.30";"17.30";"118.00";"0.16";"0.25";"14";"Extremadamente deteriorada"
"19";"Costanera Norte - Espigon Abanico";"CABA";"CA044";"23/9/2004";"2004";"primavera";"01.04";"9700";"29000";"6000";"no se midió";"3.95";"7.30";"16.90";"116.00";"0.16";"0.24";"14";"Extremadamente deteriorada"
