"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"30";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"30/3/2016";"2016";"verano";"23.3";"9.84";"no se midió";"7000";"1500";"1400";"12.4";"1";"129";"42";"Extremadamente deteriorada"
"31";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"30/3/2016";"2016";"verano";"22.7";"7.47";"no se midió";"100000";"2000";"500";"14.62";"0.1";"21";"44";"Extremadamente deteriorada"
"32";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"30/3/2016";"2016";"verano";"22.6";"8.9";"no se midió";"12000";"3000";"99";"12.85";"0.33";"25";"57";"Muy deteriorada"
"33";"Camping Eva Perón";"Ensenada";"EN081";"30/3/2016";"2016";"verano";"22.2";"8.86";"8.19";"19000";"14000";"2300";"10.19";"0.14";"14";"41";"Extremadamente deteriorada"
"34";"Toma de agua Club de Pesca";"Ensenada";"EN082";"30/3/2016";"2016";"verano";"22.2";"6.14";"7.46";"68000";"14000";"1100";"9.75";"0.37";"18";"42";"Extremadamente deteriorada"
"35";"Arroyo El Gato";"Ensenada";"EN083";"30/3/2016";"2016";"verano";"22";"2.35";"7.62";"135000";"36000";"5100";"12.4";"0.99";"52";"34";"Extremadamente deteriorada"
"36";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"30/3/2016";"2016";"verano";"21.9";"6.88";"7.49";"10000";"4000";"500";"9.75";"0.65";"44";"44";"Extremadamente deteriorada"
"37";"Balneario Municipal";"Berisso";"BS094";"30/3/2016";"2016";"verano";"22.5";"6";"7.64";"26000";"2000";"100";"13.73";"0.98";"71";"57";"Muy deteriorada"
"38";"Playa La Balandra";"Berisso";"BS093";"30/3/2016";"2016";"verano";"23.2";"7.62";"8.16";"24000";"6000";"1400";"8.42";"<0.05";"52";"35";"Extremadamente deteriorada"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"40000";"500";"300";"3.8";"<0.05";"25";"51";"Muy deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"200000";"4000";"300";"4.9";"<0.05";"14";"35";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"44000";"200";"100";"4.4";"0.12";"<10";"79";"Deteriorada"
