"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"12";"Reserva Ecológica";"San Isidro";"SI022";"30/11/2016";"2016";"primavera";"27.3";"5.07";"7.45";"25000";"5000";"700";"5.76";"1";"42";"40";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"San Isidro";"SI024";"30/11/2016";"2016";"primavera";"29.9";"7.03";"8.09";"60000";"40000";"1700";"11.96";"0.1";"17";"39";"Extremadamente deteriorada"
"14";"Perú Puente";"San Isidro";"SI023";"30/11/2016";"2016";"primavera";"25.9";"";"7.06";"35000";"30000";"14000";"26.14";"3.5";"104";"30";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"Vicente López";"VL033";"30/11/2016";"2016";"primavera";"25.5";"";"8.19";"10000";"10000";"9200";"15.51";"1.2";"100";"31";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"30/11/2016";"2016";"primavera";"24.9";"";"7.68";"18000";"1600";"800";"8.42";"0.7";"42";"42";"Extremadamente deteriorada"
"17";"Costa y Melo";"Vicente López";"VL031";"30/11/2016";"2016";"primavera";"25.5";"";"7.98";"18000";"2000";"1900";"14.18";"0.1";"33";"46";"Muy deteriorada"
"18";"Parque de los Niños";"CABA";"CA041";"30/11/2016";"2016";"primavera";"28";"4.98";"7.6";"270000";"30000";"30000";"";"1.4";"no se midió";"21";"Extremadamente deteriorada"
"19";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"30/11/2016";"2016";"primavera";"25.5";"7.9";"8.1";"47000";"20000";"13000";"";"2.6";"no se midió";"30";"Extremadamente deteriorada"
"20";"Club de Pescadores";"CABA";"CA046";"30/11/2016";"2016";"primavera";"27.2";"6.79";"8.1";"10000";"4700";"4300";"";"1.8";"no se midió";"33";"Extremadamente deteriorada"
"21";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"30/11/2016";"2016";"primavera";"25.7";"7.81";"8.37";"3000";"530";"530";"";"0.8";"no se midió";"50";"Muy deteriorada"
"22";"Escollera de Propaneros";"Avellaneda";"AV054";"30/11/2016";"2016";"primavera";"25.8";"4.4";"5.8";"60000";"14000";"1000";"2.66";"3.3";"108";"20";"Extremadamente deteriorada"
"23";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"30/11/2016";"2016";"primavera";"25.3";"4.7";"6";"18500";"16500";"8000";"3.99";"1.2";"75";"19";"Extremadamente deteriorada"
"24";"Arroyo Sarandí";"Avellaneda";"AV052";"30/11/2016";"2016";"primavera";"25.3";"2.3";"6.4";"5000";"3000";"1600";"2.44";"3.5";"96";"24";"Extremadamente deteriorada"
"25";"Costa de Villa Domínico";"Avellaneda";"AV055";"30/11/2016";"2016";"primavera";"25.7";"2";"6.6";"10000";"2500";"100";"1.99";"2.9";"42";"44";"Extremadamente deteriorada"
"26";"Arroyo Santo Domingo";"Avellaneda";"AV053";"30/11/2016";"2016";"primavera";"25.1";"2.2";"6.5";"4000";"4000";"3800";"1.77";"3.7";"88";"30";"Extremadamente deteriorada"
"27";"Espora 400 m";"Quilmes";"QU061";"30/11/2016";"2016";"primavera";"25.6";"4.08";"7.17";"4000";"1400";"600";"5.32";"1.2";"33";"40";"Extremadamente deteriorada"
"28";"Náutico 400 m";"Quilmes";"QU062";"30/11/2016";"2016";"primavera";"25.4";"4.53";"7.63";"9000";"1800";"300";"5.76";"1.2";"67";"40";"Extremadamente deteriorada"
"29";"Pejerrey Club 400 m";"Quilmes";"QU063";"30/11/2016";"2016";"primavera";"27.2";"4.59";"7.26";"5000";"3000";"1700";"8.86";"1";"21";"33";"Extremadamente deteriorada"
"30";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"30/11/2016";"2016";"primavera";"25.8";"no se midió";"no se midió";"20000";"18000";"1000";"10.19";"2.1";"58";"26";"Extremadamente deteriorada"
"31";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"30/11/2016";"2016";"primavera";"23.1";"no se midió";"no se midió";"4600";"1000";"400";"10.19";"0.1";"33";"52";"Muy deteriorada"
"32";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"30/11/2016";"2016";"primavera";"22.2";"no se midió";"no se midió";"4700";"1000";"<100";"7.53";"0.1";"46";"65";"Deteriorada"
"33";"Camping Eva Perón";"Ensenada";"EN081";"30/11/2016";"2016";"primavera";"23";"8.74";"8.37";"14000";"4000";"1600";"7.53";"0.1";"21";"46";"Muy deteriorada"
"34";"Toma de agua Club de Pesca";"Ensenada";"EN082";"30/11/2016";"2016";"primavera";"23";"6.22";"7.73";"6000";"1600";"100";"8.86";"0.1";"29";"65";"Deteriorada"
"35";"Arroyo El Gato";"Ensenada";"EN083";"30/11/2016";"2016";"primavera";"24";"0.8";"7.62";"25000";"21000";"9100";"3.54";"13.1";"112";"27";"Extremadamente deteriorada"
"36";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"30/11/2016";"2016";"primavera";"24";"5.4";"7.66";"28000";"8500";"400";"8.42";"0.1";"<10";"43";"Extremadamente deteriorada"
"37";"Balneario Palo Blanco";"Berisso";"BS092";"30/11/2016";"2016";"primavera";"21";"4.14";"8.21";"28000";"25000";"10000";"3.99";"15.7";"142";"27";"Extremadamente deteriorada"
"38";"Playa La Bagliardi";"Berisso";"BS091";"30/11/2016";"2016";"primavera";"18.9";"7.17";"8.33";"15000";"12000";"400";"4.43";"0.2";"63";"42";"Extremadamente deteriorada"
"39";"Playa La Balandra";"Berisso";"BS093";"30/11/2016";"2016";"primavera";"18.7";"8.8";"8.52";"7000";"2000";"<100";"4.43";"0.1";"42";"56";"Muy deteriorada"
