orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
31,calle 14 y costa - salida cloaca,bz078,28/8/2013,2013,invierno,11.0,,0.8,7.7,,,,,1.400.000,,,8.13,3.32,,,,77.0,,,,,,,29.0,extremadamente deteriorada
32,puerto trinidad calle 47,bz077,28/8/2013,2013,invierno,12.0,,0.8,7.9,,,,,1.100.000,,,2.17,9.17,,,,72.0,,,,,,,29.0,extremadamente deteriorada
33,costanera hudson calle 63,bz080,28/8/2013,2013,invierno,13.0,,4.2,8.1,,,,,70.000,,,9.45,5.1,,,,57.0,,,,,,,30.0,extremadamente deteriorada
34,camping eva pera3n,en081,28/8/2013,2013,invierno,11.0,,0.8,8.1,,,,,5.000,,,11.46,5.15,,,,53.0,,,,,,,35.0,extremadamente deteriorada
35,toma de agua club de pesca,en082,28/8/2013,2013,invierno,11.0,,1.7,7.8,,,,,13.000,,,7.53,3.29,,,,32.0,,,,,,,33.0,extremadamente deteriorada
36,arroyo el gato,en083,28/8/2013,2013,invierno,12.0,,<0.5,7.7,,,,,80.000,,,3.04,7.77,,,,75.0,,,,,,,30.0,extremadamente deteriorada
37,ensenada prefectura isla santiago,en084,28/8/2013,2013,invierno,12.0,,1.6,7.6,,,,,800,,,9.32,1.77,,,,30.0,,,,,,,48.0,muy deteriorada
38,balneario palo blanco,bs092,28/8/2013,2013,invierno,8.9,,1.3,8.2,,,,,1.300,,,16.55,1.4,,,,41.0,,,,,,,45.0,muy deteriorada
39,playa la bagliardi,bs091,28/8/2013,2013,invierno,9.1,,1,7.8,,,,,2.700,,,7.76,0.77,,,,33.0,,,,,,,41.0,extremadamente deteriorada
40,playa la balandra,bs093,28/8/2013,2013,invierno,9.4,,2.5,8.1,,,,,14.000,,,12.93,1.61,,,,41.0,,,,,,,33.0,extremadamente deteriorada
1,canal villa nueva y rao lujan,ti001,13/11/2013,2013,primavera,,,,,,,,,2.400,790,,,,,,,70.0,,,,,,,,
2,canal aliviador y rao lujan,ti002,13/11/2013,2013,primavera,,,,,,,,,2.400,2.400,,,,,,,66.0,,,,,,,,
3,rao carapachay y arroyo gallo fiambre,ti003,13/11/2013,2013,primavera,,,,,,,,,,,,,,,,,65.0,,,,,,,,
4,rao reconquista y rao lujan,ti004,13/11/2013,2013,primavera,,,,,,,,,9.200,9.200,,,,,,,,,,,,,,,
5,rio tigre 100m antes del rio lujan,ti005,13/11/2013,2013,primavera,,,,,,,,,34.800,17.200,,,,,,,,,,,,,,,
6,rao lujan y canal san fernando,ti007,13/11/2013,2013,primavera,,,,,,,,,160.900,160.900,,,,,,,,,,,,,,,
7,del arca,sf015,13/11/2013,2013,primavera,16.0,,,,,,,,17.200,17.200,,8.0,0.116,,,,72.0,,,,,,,36.0,extremadamente deteriorada
8,espiga3n la farola,si021,13/11/2013,2013,primavera,22.9,,7.96,7.8,,,,,24.000,24.000,,,,,,,70.0,,,,,,,35.0,extremadamente deteriorada
9,reserva ecola3gica,si022,13/11/2013,2013,primavera,22.4,,7.39,7.7,,,,,9.200,9.200,,8.8,0.128,,,,72.0,,,,,,,43.0,extremadamente deteriorada
10,playa espiga3n de pacheco,si024,13/11/2013,2013,primavera,22.5,,7.42,7.8,,,,,34.800,34.800,,,,,,,77.0,,,,,,,35.0,extremadamente deteriorada
11,perao puente,si023,13/11/2013,2013,primavera,21.3,,1.05 (*),7.0,,,,,2.400.000,2.400.000,,,,,,,84.0,,,,,,,24.0,extremadamente deteriorada
12,reserva barrio el ceibo,vl033,13/11/2013,2013,primavera,22.2,,7.5,7.9,,,,,16.000,3.500,,14.1,0.092,,,,72.0,,,,,,,42.0,extremadamente deteriorada
13,puerto de olivos espiga3n,vl032,13/11/2013,2013,primavera,21.8,,7.1,7.8,,,,,9.200,9.200,,15.2,0.202,,,,69.0,,,,,,,43.0,extremadamente deteriorada
14,costa y melo,vl031,13/11/2013,2013,primavera,21.7,,8.2,8.0,,,,,24.000,24.000,,16.5,0.192,,,,75.0,,,,,,,40.0,extremadamente deteriorada
15,parque de los niaos,ca041,13/11/2013,2013,primavera,25.2,,5.27,7.37,,,,,10.000,8.100,,5.0,0.6,,,,88.0,,,,,,,35.0,extremadamente deteriorada
16,mirador toma de agua,ca043,13/11/2013,2013,primavera,24.1,,5.23,7.32,,,,,19.000,16.000,,5.0,1.6,,,,99.0,,,,,,,34.0,extremadamente deteriorada
17,costanera norte - espiga3n abanico,ca044,13/11/2013,2013,primavera,23.9,,5.72,7.27,,,,,3.800,3.000,,5.0,3.1,,,,87.0,,,,,,,38.0,extremadamente deteriorada
