orden;sitios;codigo;fecha;A�o;Campa�a;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
35;Arroyo El Gato;EN083;30/3/2016;2016;verano;22;;2.35;7.62;;;;;36000;5100;;12.4;0.99;;;;52;;;;;;;34;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;30/3/2016;2016;verano;21.9;;6.88;7.49;;;;;4000;500;;9.75;0.65;;;;44;;;;;;;44;Extremadamente deteriorada
37;Balneario Municipal;BS094;30/3/2016;2016;verano;22.5;;6;7.64;;;;;2000;100;;13.73;0.98;;;;71;;;;;;;57;Muy deteriorada
38;Playa La Balandra;BS093;30/3/2016;2016;verano;23.2;;7.62;8.16;;;;;6000;1400;;8.42;<0.05;;;;52;;;;;;;35;Extremadamente deteriorada
1;Canal Villa Nueva y Río Luján;TI001;22/6/2016;2016;oto�o;;;;;;;;;500;300;;3.8;<0.05;;;;25;;;;;;;51;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;22/6/2016;2016;oto�o;;;;;;;;;4000;300;;4.9;<0.05;;;;14;;;;;;;35;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002;22/6/2016;2016;oto�o;;;;;;;;;200;100;;4.4;0.12;;;;<10;;;;;;;79;Deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;22/6/2016;2016;oto�o;;;;;;;;;200;100;;4.4;<0.05;;;;18;;;;;;;79;Deteriorada
5;Río Reconquista y Río Lujan;TI004;22/6/2016;2016;oto�o;;;;;;;;;6000;4000;;4.4;0.3;;;;48;;;;;;;32;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;22/6/2016;2016;oto�o;;;;;;;;;7500;7000;;4.4;0.77;;;;60;;;;;;;17;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;22/6/2016;2016;oto�o;;;;;;;;;1000;700;;4.9;0.29;;;;10;;;;;;;42;Extremadamente deteriorada
8;Río Capitán y Río San Antonio;TI008;22/6/2016;2016;oto�o;;;;;;;;;200;99;;4.4;<0.05;;;;14;;;;;;;79;Deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;22/6/2016;2016;oto�o;;;;;;;;;1000;99;;4.4;<0.05;;;;71;;;;;;;60;Muy deteriorada
10;Del Arca;SF015;22/6/2016;2016;oto�o;;;;;;;;;2000;200;;5.8;0.27;;;;<10;;;;;;;40;Extremadamente deteriorada
11;Espigón La Farola;SI021;22/6/2016;2016;oto�o;12.5;;9.19;7.97;;;;;200;100;;5.3;0.23;;;;14;;;;;;;88;Levemente deteriorada
12;Reserva Ecológica;SI022;22/6/2016;2016;oto�o;12.8;;8.7;7.88;;;;;1000;100;;4.9;0.24;;;;10;;;;;;;72;Deteriorada
13;Playa Espigón de Pacheco;SI024;22/6/2016;2016;oto�o;15;;9.35;8.31;;;;;15000;100;;10.6;0.26;;;;<10;;;;;;;45;Muy deteriorada
14;Perú Puente;SI023;22/6/2016;2016;oto�o;18;;0.66;7.83;;;;;2500;700;;4.4;1.44;;;;60;;;;;;;34;Extremadamente deteriorada
15;Reserva Barrio El Ceibo;VL033;22/6/2016;2016;oto�o;12.3;;9;8;;;;;2500;2100;;8.9;0.22;;;;37;;;;;;;47;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;22/6/2016;2016;oto�o;12;;7.4;7.62;;;;;2000;1900;;8;0.26;;;;37;;;;;;;49;Muy deteriorada
17;Costa y Melo;VL031;22/6/2016;2016;oto�o;12;;8.9;8.41;;;;;5000;4700;;12.8;0.27;;;;33;;;;;;;43;Extremadamente deteriorada
