orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
1;Canal Villanueva y Río Luján;TI001;6/2/2019;2019;verano;26.7;4.26;;6.95;ausencia;ausencia;ausencia;ausencia;400;140;30;5.5;0.05;0.53;0.62;12;59;56;57;<0.006;<0.002;0.5;10;59;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;6/2/2019;2019;verano;26;3.78;;6.78;ausencia;ausencia;ausencia;ausencia;300;60;10;5.2;0.16;0.39;0.43;8;46;42;49;<0.006;<0.002;0.5;10;70;Deteriorada
3;Canal Aliviador y Río Lujan;TI002;6/2/2019;2019;verano;26.5;3.4;;6.98;ausencia;presencia;ausencia;ausencia;1200;800;180;6.6;0.59;0.31;0.39;6;127;49;121;<0.006;<0.002;0.5;10;51;Muy deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;6/2/2019;2019;verano;26.3;3.18;;6.79;ausencia;ausencia;ausencia;ausencia;200;120;550;3.2;0.1;0.15;0.19;10;56;51;195;<0.006;<0.002;0.5;10;61;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;6/2/2019;2019;verano;26.5;3.47;;7.04;presencia;presencia;ausencia;ausencia;3000;2500;200;3;0.62;0.1;0.37;10;24;50;49;<0.006;<0.002;0.5;10;46;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;6/2/2019;2019;verano;27;3.52;;6.95;ausencia;presencia;ausencia;ausencia;1900;1400;400;3;0.25;0.29;0.5;6;42;51;49;<0.006;<0.002;0.5;10;52;Muy deteriorada
7;Río Lujan y Canal San Fernando;TI007;6/2/2019;2019;verano;26.9;3.48;;7.38;ausencia;ausencia;ausencia;ausencia;5000;1600;1000;3.5;1.87;0.29;0.29;8;32;44;49;<0.006;<0.002;0.5;10;47;Muy deteriorada
8;Río Capitán y Río San Antonio;TI008;6/2/2019;2019;verano;27.5;4.38;;7.16;ausencia;ausencia;ausencia;presencia;400;70;100;2.9;0.05;0.1;2.34;8;40;71;49;<0.006;<0.002;0.5;10;48;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;6/2/2019;2019;verano;26;3.85;;7.16;ausencia;ausencia;ausencia;ausencia;600;150;110;6.6;0.05;0.1;0.37;12;54;60;49;<0.006;<0.002;0.5;10;62;Muy deteriorada
10;Del Arca;SF015;6/2/2019;2019;verano;26.3;4.25;;4.46;ausencia;ausencia;presencia;presencia;4800;2200;10;4.8;0.57;0.1;0.68;12;22;54;49;<0.006;<0.002;0.5;10;41;Extremadamente deteriorada
