orden;sitios;codigo;fecha;A駉;Campa馻;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
8;R铆o Capit谩n y R铆o San Antonio;TI008;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
9;Arroyo Abra Vieja y Santa Rosa;TI009;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
10;Del Arca;SF015;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
11;Espig贸n La Farola;SI021;3/6/2015;2015;oto駉;18.1;;7.84;8;;;;;;;;;;;;;;;;;;;;;
12;Reserva Ecol贸gica;SI022;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
13;Playa Espig贸n de Pacheco;SI024;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
14;Per煤 Puente;SI023;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
15;Reserva Barrio El Ceibo;VL033;3/6/2015;2015;oto駉;17.6;;6.7;7.8;;;;;>11000;;;3;;;;10;23;;;;;;;;
16;Puerto de Olivos Espig贸n;VL032;3/6/2015;2015;oto駉;17.1;;6;7.59;;;;;>11000;;;3.2;;;;4;12;;;;;;;;
17;Costa y Melo;VL031;3/6/2015;2015;oto駉;16.9;;8.9;8.11;;;;;11000;;;4.9;;;;4;15;;;;;;;;
18;Parque de los Ni帽os;CA041;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
19;Costanera Norte - Espig贸n Abanico;CA044;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
20;Club de Pescadores;CA046;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
21;Reserva Ecol贸gica Costanera Sur - Playita;CA047;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
22;Escollera de Propaneros;AV054;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
23;Polo Petroqu铆mico Dock Sud;AV051;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
24;Arroyo Sarand铆;AV052;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
25;Costa de Villa Dom铆nico;AV055;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
26;Arroyo Santo Domingo;AV053;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
27;Espora 400 m;QU061;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
