orden;sitios;codigo;fecha;A�o;Campa�a;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
23;Escollera de Propaneros;AV054;45623;2024;primavera;25.9;18.0;1.6;7.4;Ausente;Ausente;Ausente;Ausente;;;;3.6;1.7;;;;;32.8;0.10;;;16.0;0.15;75;Deteriorada
24;Polo Petroquímico Dock Sud;AV051;45623;2024;primavera;25.8;18.0;1.1;7.4;Ausente;Ausente;Ausente;Ausente;;;;2.5;1.2;;;;;34.1;0.10;;;10.00;0.15;74;Deteriorada
25;Arroyo Sarandí;AV052;45623;2024;primavera;26.2;18.0;0.3;7.3;Ausente;Presencia;Ausente;Presencia;;;;1.00;1.0;;;;;42.0;0.10;;;10.00;0.15;55;Muy deteriorada
26;Costa de Villa Domínico;AV055;45623;2024;primavera;25.5;19.0;0.3;7.3;Ausente;Presencia;Ausente;Ausente;;;;1.00;0.8;;;;;62.3;0.10;;;10.00;0.15;60;Muy deteriorada
27;Arroyo Santo Domingo;AV053;45623;2024;primavera;25.2;19.0;0.5;7.3;Ausente;Ausente;Ausente;Ausente;;120000;1400;1.4;1.2;1.1;;10.0;;30.7;0.10;;;31.0;0.15;36;Extremadamente deteriorada
28;Espora 400 m;QU061;45623;2024;primavera;22.6;23.0;8.5;8.3;Ausencia;Presencia;Ausencia;Presencia;;;;6.1;0.1;;;;;5.3;0.10;;;10.00;0.15;81;Levemente deteriorada
29;Náutico 400 m;QU062;45623;2024;primavera;22.6;23.0;8.5;8.2;Ausencia;Presencia;Ausencia;Presencia;;;;11.6;0.1;;;;;87.8;0.10;;;10.00;0.5;81;Levemente deteriorada
30;Pejerrey Club 400 m;QU063;45623;2024;primavera;22.6;23.0;7.1;5.7;Ausencia;Presencia;Ausencia;Presencia;;6700;600;13.6;0.01;0.4;;4.0;;44.2;0.10;;;26.0;0.15;41;Extremadamente deteriorada
35;Camping Eva Perón;EN081;45623;2024;primavera;23.7;;7.6;;Ausencia;Ausencia;Ausencia;Ausencia;;1600;350;6.4;0.01;0.5;;2;;73.6;0.10;;;10.00;0.15;62;Muy deteriorada
36;Toma de agua Club de Pesca;EN082;45623;2024;primavera;24.7;;4.7;;Ausencia;Ausencia;Ausencia;Ausencia;;;;6.6;0.01;;;;;31.0;0.10;;;10.00;0.2;86;Levemente deteriorada
37;Arroyo El Gato;EN083;45623;2024;primavera;24.4;;0.8;;Ausencia;Ausencia;Ausencia;Ausencia;;;;1.4;4.5;;;;;17.1;0.10;;;15.0;0.15;63;Muy deteriorada
38;Ensenada Prefectura Isla Santiago;EN084;45623;2024;primavera;24.5;;6.6;;Ausencia;Ausencia;Ausencia;Ausencia;;;;7.9;0.01;;;;;40.2;0.10;;;10.00;0.15;92;Levemente deteriorada
39;Balneario Palo Blanco;BS092;45628;2024;primavera;20.0;19.0;7.3;8.0;Ausencia;Ausencia;Ausencia;Ausencia;;;;4.1;2.3;;;;;122.0;0.10;;;10.00;0.3;76;Deteriorada
40;Diagonal 66 (descarga cloaca);BS095;45628;2024;primavera;22.2;19.0;8.4;8.6;presencia;presencia;Ausencia;presencia;;;;3.4;0.5;;;;;191.0;0.10;;;10.00;0.15;62;Muy deteriorada
41;Playa La Bagliardi;BS091;45628;2024;primavera;21.7;19.0;8.8;8.5;Ausencia;Ausencia;Ausencia;Ausencia;;;;3.9;0.2;;;;;199.0;0.10;;;10.00;0.15;86;Levemente deteriorada
42;Balneario Municipal;BS094;45628;2024;primavera;21.6;19.0;9.0;8.6;Ausencia;Ausencia;Ausencia;Ausencia;;;;3.7;0.01;;;;;193.0;0.10;;;10.00;0.15;80;Levemente deteriorada
43;Playa La Balandra;BS093;45628;2024;primavera;22.1;19.0;9.1;8.5;Ausencia;Ausencia;Ausencia;Ausencia;;1300;400;3.4;0.01;;;;;221.0;0.10;;;10.00;0.15;56;Muy deteriorada
