orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
41;Playa La Balandra;BS093;21/3/2018;2018;verano;10;;8.5;8.11;ausencia;ausencia;ausencia;presencia;1980;1530;140;14.63;0.13;0.5;0.5;8;33.5;126;600.5;0.01;0.005;126;<50;44;Muy deteriorada
1;Canal Villanueva y Río Luján;TI001;16/5/2018;2018;otoño;19.7;;6.77;8.09;;;;;1200;200;<10;2.5;<0.05;0.25;0.25;8;39;71;223;<0.006;0.002;<10;<0.5;62;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;16/5/2018;2018;otoño;19;;5.57;8.13;;;;;2200;900;20;5.6;0.66;0.36;0.39;6;58;50;237;<0.006;0.002;<10;<0.5;52;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002;16/5/2018;2018;otoño;18.4;;4.53;7.84;;;;;5000;1300;30;11.1;1.27;0.49;0.49;8;27;39;243;<0.006;0.002;<10;<0.5;44;Muy deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;16/5/2018;2018;otoño;18.5;;6.11;7.91;;;;;2200;800;20;4.9;0.48;0.41;0.41;10;34;53;200;<0.006;0.002;<10;<0.5;55;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;16/5/2018;2018;otoño;18.6;;4.4;7.75;;;;;3400;600;15;4.3;1.06;0.49;0.49;8;46;54;195;<0.006;0.002;<10;<0.5;47;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;16/5/2018;2018;otoño;18.5;;4.64;7.93;;;;;6400;1200;30;7.9;0.79;0.51;0.51;13;36;54;50;<0.006;0.002;<10;<0.5;44;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;16/5/2018;2018;otoño;19.1;;4.77;7.61;;;;;6200;2500;70;4.4;0.95;0.52;0.52;10;29;41;122;<0.006;0.002;<10;<0.5;40;Muy deteriorada
8;Río Capitán y Río San Antonio;TI008;16/5/2018;2018;otoño;19.9;;7.12;7.79;;;;;200;100;<10;3;<0.05;0.32;0.63;2;34;82;<50;<0.006;0.002;<10;<0.5;64;Deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;16/5/2018;2018;otoño;18.8;;7.02;7.7;;;;;100;100;<10;2.5;0.07;0.33;0.33;10;24;60;<50;<0.006;0.002;<10;<0.5;75;Muy deteriorada
10;Del Arca;SF015;16/5/2018;2018;otoño;18;;5.2;7.23;;;;ausencia;3200;800;25;9.2;0.4;0.58;0.58;10;22;69;58;<0.006;0.002;<10;<0.5;53;Muy deteriorada
11;Espigón La Farola;SI021;16/5/2018;2018;otoño;18.3;;6.9;7.35;;;;ausencia;1400;500;10;5;<0.05;0.27;0.27;10;34;60;93;<0.006;0.002;<10;<0.5;62;Muy deteriorada
12;Reserva Ecológica;SI022;16/5/2018;2018;otoño;17.6;;5.3;7.3;;;;ausencia;600;500;<10;6.9;0.4;0.39;0.39;5;28;64;70;<0.006;0.002;<10;<0.5;63;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024;16/5/2018;2018;otoño;20.2;;2.68;7.53;;;;presencia;13000;4000;150;6.6;0.38;0.32;0.32;9;39;44;87;<0.006;0.002;<10;<0.5;39;Extremadamente deteriorada
14;Perú Puente;SI023;16/5/2018;2018;otoño;18;;6.82;7.68;;;;presencia;37500;6000;190;35;1.14;0.49;1.35;10;24;6.6;<50;<0.006;0.002;<10;<0.5;38;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;16/5/2018;2018;otoño;17.33;;6.2;7.45;ausencia;ausencia;ausencia;ausencia;23000;3000;130;9.1;0.81;0.35;1.05;6;15;40;110;<0.006;0.002;<10;<0.5;41;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;16/5/2018;2018;otoño;16.5;;6.6;7.5;ausencia;ausencia;presencia;ausencia;4200;2400;60;23;0.52;0.33;0.33;5;15;36;313;<0.006;0.002;<10;<0.5;49;Muy deteriorada
17;Costa y Melo;VL031;16/5/2018;2018;otoño;16;;7.2;7.58;ausencia;ausencia;ausencia;ausencia;4100;3400;100;6.1;0.44;0.22;0.22;7;27;46;100;<0.006;0.002;<10;<0.5;51;Extremadamente deteriorada
18;Parque de los Niños;CA041;27/6/2018;2018;otoño;11.4;;8;7.8;;;;;17000;17000;2500;6;3.21;;0.38;7;30;61;;0.03;0.002;<10;<0.5;39;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CA044;27/6/2018;2018;otoño;11.4;;7.9;7.8;;;;;4000;4000;470;1.9;3.21;;0.04;<5;33;62;;0.03;0.002;<10;<0.5;46;Extremadamente deteriorada
20;Club de Pescadores;CA046;27/6/2018;2018;otoño;11.2;;8;7.8;;;;;25000;25000;3100;7;2.7;;0.04;5;30;60;;<0.02;0.002;<10;<0.5;39;Muy deteriorada
