orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
33;Camping Eva Perón;EN081;8/3/2017;2017;verano;22.8;;8.22;8.18;;;;;6000;200;;9.75;<0.05;;;10;25;0.36;;;;;;;
34;Toma de agua Club de Pesca;EN082;8/3/2017;2017;verano;23.6;;6.53;7.85;;;;;3000;200;;11.96;<0.05;;;15;32;0.41;;;;;;;
35;Arroyo El Gato;EN083;8/3/2017;2017;verano;23.9;;0.78;7.87;;;;;16000;4000;;4.87;2.6;;;25;48;0.32;;;;;;;
36;Ensenada Prefectura Isla Santiago;EN084;8/3/2017;2017;verano;23.1;;4.67;7.62;;;;;3400;200;;10.63;<0.05;;;10;24;0.2;;;;;;;
37;Balneario Palo Blanco;BS092;8/3/2017;2017;verano; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
38;Diagonal 66 (descarga cloaca);BS095;8/3/2017;2017;verano;22;;3.09;8.05;;;;;19000;4000;;4.43;2.6;;;30;102;0.95;;;;;;;
39;Playa La Bagliardi;BS091;8/3/2017;2017;verano; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
40;Balneario Municipal;BS094;8/3/2017;2017;verano;19;;6.42;8.13;;;;;5000;1500;;16.39;<0.05;;;10;55;1.1;;;;;;;
41;Playa La Balandra;BS093;8/3/2017;2017;verano;20;;6.66;7.51;;;;;20000;400;;6.65;<0.05;;;20;47;<0.1;;;;;;;
1;Canal Villa Nueva y Río Luján;TI001;31/5/2017;2017;otoño;;;7.69;7.06;;;;;6400;2500;;5.32;0.5;;;10;22;<0.1;;;;;;;
2;Río Lujan y Arroyo Caraguatá;TI006;31/5/2017;2017;otoño;;;8.02;7.01;;;;;1400;1200;;11.08;0.4;;;20;54;1;;;;;;;
3;Canal Aliviador y Río Lujan;TI002;31/5/2017;2017;otoño;;;8.31;7.12;;;;;20000;5800;;3.99;4.3;;;15;48;0.4;;;;;;;
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;31/5/2017;2017;otoño;;;8.07;7.23;;;;;7400;2200;;3.1;0.4;;;5;19;0.2;;;;;;;
5;Río Reconquista y Río Lujan;TI004;31/5/2017;2017;otoño;;;7.6;6.71;;;;;7000;4200;;9.3;2.9;;;20;51;0.9;;;;;;;
6;Rio Tigre 100m antes del Rio Luján;TI005;31/5/2017;2017;otoño;;;8;7.23;;;;;2400;1100;;4.43;0.7;;;15;29;0.3;;;;;;;
7;Río Lujan y Canal San Fernando;TI007;31/5/2017;2017;otoño;;;10.25;7.3;;;;;3400;600;;4.87;0.7;;;5;19;0.2;;;;;;;
8;Río Capitán y Río San Antonio;TI008;31/5/2017;2017;otoño;;;9.07;7.15;;;;;3200;1200;;3.99;0.5;;;5;16;0.2;;;;;;;
9;Arroyo Abra Vieja y Santa Rosa;TI009;31/5/2017;2017;otoño;;;9.73;7.05;;;;;10000;3200;;6.2;2.6;;;10;44;0.4;;;;;;;
10;Del Arca;SF015;31/5/2017;2017;otoño; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
11;Espigón La Farola;SI021;31/5/2017;2017;otoño;15;;8.8;7.53;;;;;800;600;;4.87;0.6;;;2;11;<0.1;;;;;;;
12;Reserva Ecológica;SI022;31/5/2017;2017;otoño;14.4;;8.51;7.64;;;;;1200;1000;;4.87;0.5;;;4;20;0.1;;;;;;;
13;Playa Espigón de Pacheco;SI024;31/5/2017;2017;otoño;14;;9.05;7.75;;;;;8500;2200;;6.2;0.5;;;4;19;0.2;;;;;;;
14;Perú Puente;SI023;31/5/2017;2017;otoño;17.5;;3.42;7.56;;;;;20000;3000;;26.58;2.1;;;10;25;0.5;;;;;;;
15;Reserva Barrio El Ceibo;VL033;31/5/2017;2017;otoño;14.3;;7.7;7.28;;;;;1200;1100;;8.86;0.7;;;5;25;0.4;;;;;;;
16;Puerto de Olivos Espigón;VL032;31/5/2017;2017;otoño;14.2;;7.3;7.78;;;;;3200;800;;7.97;0.8;;;8;32;0.5;;;;;;;
17;Costa y Melo;VL031;31/5/2017;2017;otoño;14;;7.6;7.3;;;;;3400;200;;12.85;0.7;;;10;23;0.3;;;;;;;
18;Parque de los Niños;CA041;31/5/2017;2017;otoño;14.4;;8.4;6.6;;;;;590;590;;12;0.6;;;5;145;no miden;;;;;;;
19;Costanera Norte - Espigón Abanico;CA044;31/5/2017;2017;otoño;17;;8.2;7.1;;;;;1100;1100;;11;0.4;;;5;179;no miden;;;;;;;
20;Club de Pescadores;CA046;31/5/2017;2017;otoño;14.5;;6;7.3;;;;;82000;70000;;11;2.1;;;5;215;no miden;;;;;;;
21;Reserva Ecológica Costanera Sur - Playita;CA047;31/5/2017;2017;otoño;14.7;;9.3;7.4;;;;;5600;4600;;11;0.3;;;5;149;no miden;;;;;;;
22;Escollera de Propaneros;AV054;31/5/2017;2017;otoño;16.3;;4.6;6.3;;;;;14000;3000;;8.42;2.1;;;16;43;0.5;;;;;;;
23;Polo Petroquímico Dock Sud;AV051;31/5/2017;2017;otoño;15.7;;7.29;6.4;;;;;9000;1000;;4.87;0.9;;;14;41;<0.1;;;;;;;
24;Arroyo Sarandí;AV052;31/5/2017;2017;otoño;15.8;;6.57;6.4;;;;;8000;4000;;4.87;1.5;;;6;16;0.9;;;;;;;
25;Costa de Villa Domínico;AV055;31/5/2017;2017;otoño;15.9;;2.3;6.4;;;;;1600;300;;5.32;1.9;;;30;70;0.3;;;;;;;
26;Arroyo Santo Domingo;AV053;31/5/2017;2017;otoño;16;;4.6;6.5;;;;;1000;200;;3.99;1.7;;;18;69;0.2;;;;;;;
27;Espora 400 m;QU061;31/5/2017;2017;otoño;15.6;;7.94;6.7;;;;;200;100;;4.87;1.5;;;12;22;<0.1;;;;;;;
28;Náutico 400 m;QU062;31/5/2017;2017;otoño;14.4;;8.62;7.1;;;;;200;100;;4.87;1;;;10;18;<0.1;;;;;;;
29;Pejerrey Club 400 m;QU063;31/5/2017;2017;otoño;14.4;;8.45;7.13;;;;;800;99;;5.32;0.1;;;12;25;<0.1;;;;;;;
30;Calle 14 y Costa - Salida cloaca;BZ078;31/5/2017;2017;otoño;11.3;;8.07;7.33;;;;;15000;4600;;18.16;1.8;;;12;29;0.4;;;;;;;
31;Puerto Trinidad calle 47;BZ077;31/5/2017;2017;otoño;12.6;;7.94;7.63;;;;;8000;1500;;17.28;2.1;;;16;26;0.5;;;;;;;
32;Costanera Hudson Calle 63;BZ080;31/5/2017;2017;otoño;10.1;;5.01;4.79;;;;;2000;500;;8.86;0.3;;;20;41;0.6;;;;;;;
33;Camping Eva Perón;EN081;31/5/2017;2017;otoño;11.5;;9.63;8.11;;;;;200;200;;12.85;0.3;;;6;19;0.4;;;;;;;
34;Toma de agua Club de Pesca;EN082;31/5/2017;2017;otoño; ;;7.83; ;;;;;1000;99;;9.75;0.4;;;15;22;0.2;;;;;;;
35;Arroyo El Gato;EN083;31/5/2017;2017;otoño;13.9;;4.07;7.6;;;;;3200;1100;;9.3;2.1;;;15;32;0.1;;;;;;;
36;Ensenada Prefectura Isla Santiago;EN084;31/5/2017;2017;otoño;13.6;;7.47;7.83;;;;;800;100;;9.3;0.6;;;11;20;0.2;;;;;;;
37;Diagonal 66 (descarga cloaca);BS095;31/5/2017;2017;otoño;12;;4.44;8.52;;;;;22000;2000;;4.43;2.9;;;10;25;1.1;;;;;;;
38;Playa La Bagliardi;BS091;31/5/2017;2017;otoño;15. 11;;7.81;8.04;;;;;1500;1000;;9.75;2;;;15;48;0.5;;;;;;;
39;Playa La Balandra;BS093;31/5/2017;2017;otoño;15. 11;;7.81;8.04;;;;;500;99;;7.09;0.2;;;10;19;0.1;;;;;;;
1;Canal Villa Nueva y Río Luján;TI001;16/8/2017;2017;invierno;15;;6.98;7.23;;;;;8800;8000;;4.65;2.8;;;21;40;0.77;;;;;;;
2;Río Lujan y Arroyo Caraguatá;TI006;16/8/2017;2017;invierno;15.4;;8.12;7.45;;;;;4600;2200;;5.54;1;;;10;15;<0.3;;;;;;;
3;Canal Aliviador y Río Lujan;TI002;16/8/2017;2017;invierno;15;;6.77;7.44;;;;;5200;3900;;5.32;2.3;;;15;21;0.64;;;;;;;
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;16/8/2017;2017;invierno;14.4;;7.89;7.55;;;;;7800;7000;;5.32;3.9;;;22;31;0.34;;;;;;;
5;Río Reconquista y Río Lujan;TI004;16/8/2017;2017;invierno;15.2;;7.1;6.8;;;;;6000;4600;;5.76;3.3;;;17;28;0.77;;;;;;;
6;Rio Tigre 100m antes del Rio Luján;TI005;16/8/2017;2017;invierno;15;;6.45;7.02;;;;;20000;8200;;12.85;3.8;;;28;88;1.04;;;;;;;
7;Río Lujan y Canal San Fernando;TI007;16/8/2017;2017;invierno;15.3;;5.56;6.78;;;;;14000;6600;;4.65;1.3;;;20;30;0.8;;;;;;;
8;Río Capitán y Río San Antonio;TI008;16/8/2017;2017;invierno;14.8;;8.22;7.25;;;;;7600;6000;;12.63;2.8;;;6;17;<0.3;;;;;;;
9;Arroyo Abra Vieja y Santa Rosa;TI009;16/8/2017;2017;invierno;14.8;;8.26;7.29;;;;;7000;3300;;10.19;1;;;8;18;<0.3;;;;;;;
10;Del Arca;SF015;16/8/2017;2017;invierno;17.8;;3.84;7.79;;;;;6400;3000;;11.96;2.8;;;14;20;0.37;;;;;;;
11;Espigón La Farola;SI021;16/8/2017;2017;invierno;16;;7.1;7.54;;;;;800;500;;7.09;0.5;;;6;24;0.83;;;;;;;
12;Reserva Ecológica;SI022;16/8/2017;2017;invierno;15.6;;7.01;7.56;;;;;1200;300;;6.65;0.4;;;6;<10;0.61;;;;;;;
13;Playa Espigón de Pacheco;SI024;16/8/2017;2017;invierno;15.4;;6.62;7.59;;;;;1600;1200;;9.3;0.6;;;5;17;0.61;;;;;;;
14;Perú Puente;SI023;16/8/2017;2017;invierno;17.2;;4.28;7.55;;;;;2000;1000;;28.8;1;;;8;14;0.86;;;;;;;
15;Reserva Barrio El Ceibo;VL033;16/8/2017;2017;invierno;15.7;;7.5;7.52;;;;;3400;3200;;7.31;0.7;;;5;12;<0.3;;;;;;;
16;Puerto de Olivos Espigón;VL032;16/8/2017;2017;invierno;16.1;;6.7;7.16;;;;;8400;5100;;9.75;0.7;;;10;27;<0.3;;;;;;;
17;Costa y Melo;VL031;16/8/2017;2017;invierno;16;;8.5;7.65;;;;;7600;4600;;10.19;0.6;;;24;32;<0.3;;;;;;;
18;Parque de los Niños;CA041;16/8/2017;2017;invierno;16.6;;4.6;7.5;;;;;200;200;;12;0.5;;;5;55; ;;;;;;;
19;Costanera Norte - Espigón Abanico;CA044;16/8/2017;2017;invierno;15.8;;5.4;7.8;;;;;2000;2000;;13;1.2;;;5;65; ;;;;;;;
